你和山田君处的怎么样了？|山田君とどうしたの？
三校统合的第一天。|三校統合の初日。
连校服都还没有统一，身着三种不同校服的学生们交织往来，或是叙旧欢谈，或是倾诉困惑。|まだ制服すら統一されてなくて、三種類の制服を着た生徒達が、入り交じって再会に盛り上がったり、戸惑ったり。
大人们肯定也很混乱的吧。|きっと大人も混乱しているのだろう。
彩音，好久不见啊|彩音、久しぶりだねぇ
嗯，好久不见。志乃|うん、久しぶり。志乃
志乃和新堂交情相当深。|志乃と新堂は、それなりに知った仲だ。
能像这样和以前分开的同伴再次相聚，统合也不坏嘛。统合万岁|こうして昔別れた仲間とめぐりあえるんだから、統合も悪く無いね。ビバ統合
不过，从樱代过来的专业科，难道不是被直接分到专业科班上去的么？|でも、桜代から来た専門科って、そのまま専門クラスに振り分けられてるんじゃないっけ？
我转到普通科了|私、普通科に転入したから
诶，为啥？|え、なんで？
在旁听着，不经意间发出了诧异的声音。|横で話を聞きながら、思わず素っ頓狂な声をあげてしまった。
不过，是么。毕竟樱代的专业科是原样搬进了专业科班级的……|でも、そうか。桜代の専門科は、そのまま専門クラスで固まっているはずだし……
新堂在这个班，也就是说她从那边转到普通科来了么。|このクラスに新堂がいるってことは、普通科に転入してきたってことなのか。
我转过来碍着你了么？|転入したら、悪い？
那倒是没有……|悪くは無いけど……
我只是觉得新堂你当时去专业科的目的很明确。所以觉得有点意外|新堂って、専門科に行った目的がはっきりしてたから。意外だなって
……|……
怎、怎么回事。新堂的表情阴下来了。|な、なんだ。新堂の顔つきが険しくなる。
我从刚才开始好像就一个劲的在踩新堂的地雷或者说是尾巴。|さっきから俺は、新堂の地雷だかシッポだかを踏みつけまくっているらしい。
我可不想被国见君说|國見君に言われたくないしっ
什、什么啊|な、なんだよ
哼|ふんだ
她坐回座位，将头扭向了一旁。|席について、そっぽを向いてしまった。
喂喂，这是怎么了。这才第一天，为什么就开始闹不愉快啊。新堂和你关系不是挺好的么？|おいおい、どうしたんだ。初日から、どういうご機嫌の損ねかたしたんだ。新堂さんとお前って、けっこう仲良くなかったか？
涼介|涼介
不知道啊。刚才她在教室里坐我旁边的时候我一直没注意到她。我觉得她大概是因此生气的吧|分からないけど。教室で隣あったときなかなか気づかなくて。それで怒ったのかなって
嘛……是会生气的吧。毕竟女人心可是很复杂的。只是一两年不见，就会大变样|まぁ……怒るかな。女って複雑だからねぇ。一年二年会わないだけで、がらっと変わるものだ
看起来是这样|みたいだな
女别三日，当刮目相看。就是这个意思吧|女子三日会わざれば、刮目してみよ。ってやつだねぇ
「……|「……
洸太郎＆凉介|洸太郎＆涼介
的确。新堂……说变了的话，确实是变了啊……巨变的感觉|確かに。新堂さん……変わったと言えば、変わったな……大きい方向に
笨蛋，你说什么呢，贵志同学|ば、何を言っている、貴志君
你还不是看过去了|お前だって。目がいってたぞ
还不是因为你在看|お前が見るから
喂喂，你们在说什么呢。总感觉你们的声音里透着一股色气呢|こらこら、何の話をしているのかね。なんだか声にセクシャルな響きがしておりますが
「……|「……
洸太郎＆凉介|洸太郎＆涼介
志乃就完全没变啊|志乃は、まったく変わらないな
对吧|なぁ
涼介|涼介
你们看着哪在说！！|どこを見て話をしている！！
今天的课程是主要课业的适应性教育。|今日は主だった授業のオリエンテーションが組まれている。
分发教科书，并对这一年课程的开展方式……成绩判定的指标等等这一类进行说明。|教科書を配り、一年の授業の予定や進め方……成績判定の指標などなど、説明していく。
似乎打算从明天就雷厉风行地开始正常授课。|明日から、ばりばり普通の授業をやるつもりらしい。
……然后到了午休。|……そして昼休み。
这套校服是你原来学校的校服吧。这附近没见过|その制服、もとの学園の制服だよね。見かけないし
嗯。我当时也吓了一跳……说是因为校服还没有准备好，可以穿原来学校的校服上学|うん。私も驚いたけど……まだ制服が用意できてないから、もとの学園の制服で登校してかまわないからって
不会统一校服么|制服は統合されないのかな
订单量这么大生产量也跟不上……据说是因为只有没赶上第一批校服的学生穿着不同的校服的话会显得很可怜，所以要等到几周后一起更换哦|注文が追いついてないし……間に合わなかった子だけ別の制服着ていることになると可哀相だから、数週間後から一斉に、あわせるらしいよ
在说校服这样那样之前，姬野穿着的对襟毛衣也很令人在意就是了。|制服どうこう以前に、姫野さんが羽織っているカーディガンも気になるんだけどな。
不过我们学校相对来说对于打扮管得是比较宽松。就算在统合之后那个方针似乎也不会改变。|まぁ、うちの学園は、比較的身なりにはゆるいから。統合されてもその方針は変わらないらしい。
新堂你也还是穿着樱代的校服啊|新堂さんも桜代の制服のままなんだね
嗯。不过，其实我以前就很喜欢御影之丘的校服，所以很期待|うん。でも、私、御影ヶ丘の制服好きだったから、着るの楽しみなんだ。実は
说起来，新堂说过来着。说校服的喜好当然是偏向御影之丘的。在毕业的时候|そういや、新堂言ってたな。制服の好みは、断然、御影ヶ丘だって。卒業するときに
没错没错……不对|そうそう……って
？|？
你烦不烦啊！我们学校的校服也很可爱的。别在那儿自以为是了|うるさいな！うちの学園の制服だって、かわいいんだから。いい気にならないでよねっ
不，不是新堂你开始说的么……|いや、新堂から言ってきたんじゃ……
新堂哼地一声转向了一旁。|ふんっと、新堂はそっぽ向いてしまった。
你们之间果然发生过什么的吧|やっぱり何かあったんじゃないの、お前ら
呜——|うーん
我懂的我懂的|分かる分かる
这是在久违的再会中体验到的冲击对吧|久しぶりに再会してみて知る衝撃ってあるよね
以前有个同为阪神队粉丝，还一起远征去看了甲子园的女生。她……|同じ阪神ファンで、一緒に甲子園まで遠征した子がいたんだよ。それが……
不，不用说了。我已经知道你要说什么了|いや、いいよ。話読めたから
你真的知道么？不听的话可是会后悔的哦？会后悔的哦？|ほんとに読めたかな？聞かないと後悔するぞ？するぞ？
我知道了，请讲|分かったよ、どうぞ
那个女生现在，竟然变成了美洲虎队的粉丝了|その子はなんと、デトロイトタイガースファンになっていたんだぞー
……|……
涼介|涼介
这个你肯定没想到吧|これは読めなかったでしょう
虽然没想到但怎样都无所谓了……|読めなかったけどどうでもいい……
在下午的课开始之前去方便一下吧……|午後からの授業が始まる前にトイレを済ませておこう……
记得，是在……|確か、場所は……
换了校舍这些地方也会改变，非常麻烦。|校舎が変わるとこういうものも変わるので、大変だ。
不过，从樱代和西高来的学生应该会更迷茫就是了。|まぁ、桜代や西校から来た生徒はもっと戸惑ってるだろうけど。
嗯？那是……|ん？あれは……
那，那个|あ、あの
不好意思|すいません
诶|え
男学生Ａ|男子生徒Ａ
请问洗手间在……哪里呢？|お手洗いどこですか、どこ……でしょう？
厕所在那边|トイレ、あっちだよ
男学生Ａ|男子生徒Ａ
谢谢。诶嘿嘿……帮大忙了。再见|ありがとう。えへへ……助かりました。どうも
……哦，哦|……お、おう
男学生Ａ|男子生徒Ａ
那是谁啊。好像挺可爱的呢|誰あれ。なんかかわいくね？
男学生Ａ|男子生徒Ａ
你真是有够单纯的啊|お前単純だなぁ
男学生Ｂ|男子生徒Ｂ
……|……
呼|ふぅ
从厕所出来，正准备回教室。|トイレから出て、教室に戻ろうとした。
那个|えと
咦……|あれ……
又看见姬野杵在那里。|また姫野さんが立ち尽くしている。
……|……
为什么她在看男厕所啊。|なんで男子トイレのぞいてるんだ。
不知为何手还是湿漉漉的。|なぜか手がびちょびちょだし。
呜哇|うわ
啊，对不起|あ、ごめんなさいっ
和正好想进厕所的男生撞了个正着。|ちょうどトイレに入ろうとした男子とぶつかった。
抱歉|ごめんっ
诶，诶诶……|え、ええ……
没，没事。不用在意|い、いいよ。気にしないで
非常抱歉|すいませんでした
……|……
姬野就这样摇摇晃晃地打算朝与教室相反的方向走。|姫野さんはそのまま、教室とは逆方向にふらふらと歩いて行こうとする。
姬野|姫野さん
咦，国见君|あれ、國見君
教室不在那边|教室そっちじゃないよ
诶，是么？？呜哇|え、そうなの？？うわぁ
听我说啊。我去没去过的店的时候，走出来的瞬间，根本就找不到哪边是哪边|あのね。私、はじめて行く店とか、出た瞬間、どっちがどっちだったか分からなくなるんだよ
话说，你为什么要看男厕所啊？|というか、なんで男子トイレ覗いてたの？
诶诶！？被看见了|ええ！？見られてたっ
因为厕所里没有呼呼地吹干手的那种装置，所以我就在想男厕所里会不会有|あの、ぶーんって手をかわかすやつが無かったから、男子トイレにはあるのかなぁって
那个么。那个男女厕所都没装哦|あれか。あれは、どこのトイレにもついてないよ
话说就算男厕所有，你又要做什么啊。难道打算进去用么？|というか男子トイレにあったとして、どうしたの。入って使うつもりだったの？
才不是。只是在想到底有没有呢，对此有点兴趣……仅此而已|そうじゃないけどっ。あるのかなぁ、っていう興味……だけ
原，原来如此……|な、なるほど……
啊哈哈|あはは
……|……
